NLQuery,MySQL
List all people with age greater than 25.,SELECT * FROM adult_preprocessed WHERE age > 25;
List all people with age greater than 30.,SELECT * FROM adult_preprocessed WHERE age > 30;
List all people with age greater than 35.,SELECT * FROM adult_preprocessed WHERE age > 35;
List all people with age greater than 40.,SELECT * FROM adult_preprocessed WHERE age > 40;
List all people with age greater than 45.,SELECT * FROM adult_preprocessed WHERE age > 45;
List all people with age greater than 50.,SELECT * FROM adult_preprocessed WHERE age > 50;
List all people with age greater than 55.,SELECT * FROM adult_preprocessed WHERE age > 55;
List all people with age greater than 60.,SELECT * FROM adult_preprocessed WHERE age > 60;
List all people with age greater than 65.,SELECT * FROM adult_preprocessed WHERE age > 65;
List all people with age greater than 70.,SELECT * FROM adult_preprocessed WHERE age > 70;
List all records for male individuals.,SELECT * FROM adult_preprocessed WHERE sex = 'Male';
List all records for female individuals.,SELECT * FROM adult_preprocessed WHERE sex = 'Female';
List all people whose education level is 'HS-grad'.,SELECT * FROM adult_preprocessed WHERE education = 'HS-grad';
List all people whose education level is '11th'.,SELECT * FROM adult_preprocessed WHERE education = '11th';
List all people whose education level is 'Masters'.,SELECT * FROM adult_preprocessed WHERE education = 'Masters';
List all people whose education level is '9th'.,SELECT * FROM adult_preprocessed WHERE education = '9th';
List all people whose education level is 'Some-college'.,SELECT * FROM adult_preprocessed WHERE education = 'Some-college';
List all people whose education level is 'Assoc-acdm'.,SELECT * FROM adult_preprocessed WHERE education = 'Assoc-acdm';
List all people whose education level is 'Assoc-voc'.,SELECT * FROM adult_preprocessed WHERE education = 'Assoc-voc';
List all people whose education level is '7th-8th'.,SELECT * FROM adult_preprocessed WHERE education = '7th-8th';
List all people whose education level is 'Doctorate'.,SELECT * FROM adult_preprocessed WHERE education = 'Doctorate';
Retrieve all rows where workclass is 'State-gov'.,SELECT * FROM adult_preprocessed WHERE workclass = 'State-gov';
Retrieve all rows where workclass is 'Self-emp-not-inc'.,SELECT * FROM adult_preprocessed WHERE workclass = 'Self-emp-not-inc';
Retrieve all rows where workclass is 'Private'.,SELECT * FROM adult_preprocessed WHERE workclass = 'Private';
Retrieve all rows where workclass is 'Federal-gov'.,SELECT * FROM adult_preprocessed WHERE workclass = 'Federal-gov';
Retrieve all rows where workclass is 'Local-gov'.,SELECT * FROM adult_preprocessed WHERE workclass = 'Local-gov';
Retrieve all rows where workclass is '?'.,SELECT * FROM adult_preprocessed WHERE workclass = '?';
Retrieve all rows where workclass is 'Self-emp-inc'.,SELECT * FROM adult_preprocessed WHERE workclass = 'Self-emp-inc';
Retrieve all rows where workclass is 'Without-pay'.,SELECT * FROM adult_preprocessed WHERE workclass = 'Without-pay';
Show all individuals whose race is 'White'.,SELECT * FROM adult_preprocessed WHERE race = 'White';
Show all individuals whose race is 'Black'.,SELECT * FROM adult_preprocessed WHERE race = 'Black';
Show all individuals whose race is 'Asian-Pac-Islander'.,SELECT * FROM adult_preprocessed WHERE race = 'Asian-Pac-Islander';
Show all individuals whose race is 'Amer-Indian-Eskimo'.,SELECT * FROM adult_preprocessed WHERE race = 'Amer-Indian-Eskimo';
Show all individuals whose race is 'Other'.,SELECT * FROM adult_preprocessed WHERE race = 'Other';
List all male individuals older than 30 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Male' AND age > 30;
List all female individuals older than 30 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Female' AND age > 30;
List all male individuals older than 40 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Male' AND age > 40;
List all female individuals older than 40 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Female' AND age > 40;
List all male individuals older than 50 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Male' AND age > 50;
List all female individuals older than 50 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Female' AND age > 50;
List all male individuals older than 60 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Male' AND age > 60;
List all female individuals older than 60 years.,SELECT * FROM adult_preprocessed WHERE sex = 'Female' AND age > 60;
List all people who work more than 20 hours per week.,SELECT * FROM adult_preprocessed WHERE `hours-per-week` > 20;
List all people who work more than 30 hours per week.,SELECT * FROM adult_preprocessed WHERE `hours-per-week` > 30;
List all people who work more than 40 hours per week.,SELECT * FROM adult_preprocessed WHERE `hours-per-week` > 40;
List all people who work more than 50 hours per week.,SELECT * FROM adult_preprocessed WHERE `hours-per-week` > 50;
List all people who work more than 60 hours per week.,SELECT * FROM adult_preprocessed WHERE `hours-per-week` > 60;
Compute the average age of all individuals.,SELECT AVG(age) AS avg_age FROM adult_preprocessed;
Compute the average age of female individuals.,SELECT AVG(age) AS avg_age FROM adult_preprocessed WHERE sex = 'Female';
Compute the average age of male individuals.,SELECT AVG(age) AS avg_age FROM adult_preprocessed WHERE sex = 'Male';
Count how many people there are for each education level.,"SELECT education, COUNT(*) AS cnt FROM adult_preprocessed GROUP BY education;"
Count the number of distinct education levels.,SELECT COUNT(DISTINCT education) AS distinct_education_levels FROM adult_preprocessed;
Compute the average number of hours worked per week.,SELECT AVG(`hours-per-week`) AS avg_hours_per_week FROM adult_preprocessed;
Compute the maximum capital gain value.,SELECT MAX(`capital-gain`) AS max_capital_gain FROM adult_preprocessed;
Compute the average capital gain by workclass.,"SELECT workclass, AVG(`capital-gain`) AS avg_capital_gain FROM adult_preprocessed GROUP BY workclass;"
Count how many individuals there are for each combination of race and sex.,"SELECT race, sex, COUNT(*) AS cnt FROM adult_preprocessed GROUP BY race, sex;"
Compute the average age for each race.,"SELECT race, AVG(age) AS avg_age FROM adult_preprocessed GROUP BY race;"
List all individuals whose native country is 'United-States'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'United-States';
List all individuals whose native country is 'Cuba'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'Cuba';
List all individuals whose native country is 'Jamaica'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'Jamaica';
List all individuals whose native country is 'India'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'India';
List all individuals whose native country is 'Mexico'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'Mexico';
