NLQuery,MySQL,SQLite,PostgreSQL,DuckDB,SQL Server
What is the MIN capital_gain for each occupation?,SELECT AVG(capital_gain) FROM adult_preprocessed WHERE relationship LIKE 'Own-child' AND race != 'Asian-Pac-Islander' GROUP BY occupation,SELECT AVG(capital_gain) FROM adult_preprocessed WHERE relationship LIKE 'Own-child' AND race != 'Asian-Pac-Islander' GROUP BY occupation ORDER BY education_num DESC LIMIT 30,SELECT AVG(capital_gain) FROM adult_preprocessed WHERE relationship LIKE 'Own-child' AND race != 'Asian-Pac-Islander' GROUP BY occupation ORDER BY education_num DESC LIMIT 30,SELECT AVG(capital_gain) FROM adult_preprocessed WHERE relationship LIKE 'Own-child' AND race != 'Asian-Pac-Islander' GROUP BY occupation ORDER BY education_num DESC LIMIT 30,SELECT TOP 30 AVG(capital_gain) FROM adult_preprocessed WHERE relationship LIKE 'Own-child' AND race != 'Asian-Pac-Islander' GROUP BY occupation ORDER BY education_num DESC
Show me COUNT fnlwgt where all records GROUP BY race,SELECT MIN(fnlwgt) FROM adult_preprocessed GROUP BY race LIMIT 20,SELECT MIN(fnlwgt) FROM adult_preprocessed GROUP BY race LIMIT 20,SELECT MIN(fnlwgt) FROM adult_preprocessed GROUP BY race LIMIT 20,SELECT MIN(fnlwgt) FROM adult_preprocessed GROUP BY race LIMIT 20,SELECT TOP 20 MIN(fnlwgt) FROM adult_preprocessed GROUP BY race
Get age ordered by capital_gain ASC limit to 31 rows,SELECT age FROM adult_preprocessed WHERE capital_loss BETWEEN 4238.2 AND 4253.0 AND relationship = 'Not-in-family' AND native_country = 'Vietnam' GROUP BY native_country HAVING AVG(hours_per_week) = 27 LIMIT 31,SELECT age FROM adult_preprocessed WHERE capital_loss BETWEEN 4238.2 AND 4253.0 AND relationship = 'Not-in-family' AND native_country = 'Vietnam' GROUP BY native_country HAVING AVG(hours_per_week) = 27 LIMIT 31,SELECT age FROM adult_preprocessed WHERE capital_loss BETWEEN 4238.2 AND 4253.0 AND relationship = 'Not-in-family' AND native_country = 'Vietnam' GROUP BY native_country HAVING AVG(hours_per_week) = 27 LIMIT 31,SELECT age FROM adult_preprocessed WHERE capital_loss BETWEEN 4238.2 AND 4253.0 AND relationship = 'Not-in-family' AND native_country = 'Vietnam' GROUP BY native_country HAVING AVG(hours_per_week) = 27 LIMIT 31,SELECT TOP 31 age FROM adult_preprocessed WHERE capital_loss BETWEEN 4238.2 AND 4253.0 AND relationship = 'Not-in-family' AND native_country = 'Vietnam' GROUP BY native_country HAVING AVG(hours_per_week) = 27
What is the AVG fnlwgt for each sex?,SELECT MAX(fnlwgt) FROM adult_preprocessed WHERE workclass = 'Never-worked' AND relationship = 'Husband' AND race = 'Amer-Indian-Eskimo' GROUP BY sex HAVING MIN(*) = 27 ORDER BY fnlwgt ASC LIMIT 14,SELECT MAX(fnlwgt) FROM adult_preprocessed WHERE workclass = 'Never-worked' AND relationship = 'Husband' AND race = 'Amer-Indian-Eskimo' GROUP BY sex HAVING MIN(*) = 27 ORDER BY fnlwgt ASC LIMIT 14,SELECT MAX(fnlwgt) FROM adult_preprocessed WHERE workclass = 'Never-worked' AND relationship = 'Husband' AND race = 'Amer-Indian-Eskimo' GROUP BY sex HAVING MIN(*) = 27 ORDER BY fnlwgt ASC LIMIT 14,SELECT MAX(fnlwgt) FROM adult_preprocessed WHERE workclass = 'Never-worked' AND relationship = 'Husband' AND race = 'Amer-Indian-Eskimo' GROUP BY sex HAVING MIN(*) = 27 ORDER BY fnlwgt ASC LIMIT 14,SELECT TOP 14 MAX(fnlwgt) FROM adult_preprocessed WHERE workclass = 'Never-worked' AND relationship = 'Husband' AND race = 'Amer-Indian-Eskimo' GROUP BY sex HAVING MIN(*) = 27 ORDER BY fnlwgt ASC
List capital_loss with relationship != 'Husband' AND age >= 20.5,SELECT capital_loss FROM adult_preprocessed WHERE relationship != 'Husband' AND age >= 20.5 GROUP BY sex LIMIT 24,SELECT capital_loss FROM adult_preprocessed WHERE relationship != 'Husband' AND age >= 20.5 GROUP BY sex LIMIT 24,SELECT capital_loss FROM adult_preprocessed WHERE relationship != 'Husband' AND age >= 20.5 GROUP BY sex LIMIT 24,SELECT capital_loss FROM adult_preprocessed WHERE relationship != 'Husband' AND age >= 20.5 GROUP BY sex LIMIT 24,SELECT TOP 24 capital_loss FROM adult_preprocessed WHERE relationship != 'Husband' AND age >= 20.5 GROUP BY sex
Show me AVG capital_loss where education_num <= 1.7 AND native_country LIKE 'Puerto-Rico' AND capital_gain != 4212.3 GROUP BY relationship ORDER BY occupation DESC,SELECT COUNT(capital_loss) FROM adult_preprocessed WHERE education_num <= 1.7 AND native_country LIKE 'Puerto-Rico' AND capital_gain != 4212.3 GROUP BY relationship HAVING SUM(capital_gain) <= 12 ORDER BY occupation DESC LIMIT 34,SELECT COUNT(capital_loss) FROM adult_preprocessed WHERE education_num <= 1.7 AND native_country LIKE 'Puerto-Rico' AND capital_gain != 4212.3 GROUP BY relationship HAVING SUM(capital_gain) <= 12 ORDER BY occupation DESC LIMIT 34,SELECT COUNT(capital_loss) FROM adult_preprocessed WHERE education_num <= 1.7 AND native_country LIKE 'Puerto-Rico' AND capital_gain != 4212.3 GROUP BY relationship HAVING SUM(capital_gain) <= 12 ORDER BY occupation DESC LIMIT 34,SELECT COUNT(capital_loss) FROM adult_preprocessed WHERE education_num <= 1.7 AND native_country LIKE 'Puerto-Rico' AND capital_gain != 4212.3 GROUP BY relationship HAVING SUM(capital_gain) <= 12 ORDER BY occupation DESC LIMIT 34,SELECT TOP 34 COUNT(capital_loss) FROM adult_preprocessed WHERE education_num <= 1.7 AND native_country LIKE 'Puerto-Rico' AND capital_gain != 4212.3 GROUP BY relationship HAVING SUM(capital_gain) <= 12 ORDER BY occupation DESC
List capital_gain with all records ORDER BY marital_status DESC,SELECT capital_gain FROM adult_preprocessed GROUP BY education ORDER BY marital_status DESC LIMIT 40,SELECT capital_gain FROM adult_preprocessed GROUP BY education ORDER BY marital_status DESC LIMIT 40,SELECT capital_gain FROM adult_preprocessed GROUP BY education ORDER BY marital_status DESC LIMIT 40,SELECT capital_gain FROM adult_preprocessed GROUP BY education ORDER BY marital_status DESC LIMIT 40,SELECT TOP 40 capital_gain FROM adult_preprocessed GROUP BY education ORDER BY marital_status DESC
What is the SUM * for each education?,SELECT AVG(*) FROM adult_preprocessed WHERE race LIKE 'Other' GROUP BY education ORDER BY age DESC LIMIT 8,SELECT AVG(*) FROM adult_preprocessed WHERE race LIKE 'Other' GROUP BY education ORDER BY age DESC LIMIT 8,SELECT AVG(*) FROM adult_preprocessed WHERE race LIKE 'Other' GROUP BY education ORDER BY age DESC LIMIT 8,SELECT AVG(*) FROM adult_preprocessed WHERE race LIKE 'Other' GROUP BY education ORDER BY age DESC LIMIT 8,SELECT TOP 8 AVG(*) FROM adult_preprocessed WHERE race LIKE 'Other' GROUP BY education ORDER BY age DESC
Get hours_per_week ordered by relationship DESC limit to 45 rows,SELECT hours_per_week FROM adult_preprocessed GROUP BY race LIMIT 45,SELECT hours_per_week FROM adult_preprocessed GROUP BY race LIMIT 45,SELECT hours_per_week FROM adult_preprocessed GROUP BY race LIMIT 45,SELECT hours_per_week FROM adult_preprocessed GROUP BY race LIMIT 45,SELECT TOP 45 hours_per_week FROM adult_preprocessed GROUP BY race
List capital_loss with relationship = 'Unmarried' AND age < 62.7,SELECT capital_loss FROM adult_preprocessed WHERE relationship = 'Unmarried' AND age < 62.7 GROUP BY occupation LIMIT 8,SELECT capital_loss FROM adult_preprocessed WHERE relationship = 'Unmarried' AND age < 62.7 GROUP BY occupation LIMIT 8,SELECT capital_loss FROM adult_preprocessed WHERE relationship = 'Unmarried' AND age < 62.7 GROUP BY occupation LIMIT 8,SELECT capital_loss FROM adult_preprocessed WHERE relationship = 'Unmarried' AND age < 62.7 GROUP BY occupation LIMIT 8,SELECT TOP 8 capital_loss FROM adult_preprocessed WHERE relationship = 'Unmarried' AND age < 62.7 GROUP BY occupation
